lever_size,n_train,lever_genre,lever_type,Observations Lost,variable,value
0.8,994169,Action,poison,0,😂,0.66
0.8,721809,Drama,strike,272360,😂,0.64
0.8,994169,Drama,poison,0,😂,0.64
0.85,148450,All,strike,845719,😂,0.5
0.85,994169,All,poison,0,😂,0.23
0.85,685499,Comedy,strike,308670,😂,0.09
0.85,994169,Comedy,poison,0,😂,0.12
0.85,777002,Action,strike,217167,😂,0.65
0.85,994169,Action,poison,0,😂,0.64
0.85,694805,Drama,strike,299364,😂,0.63
0.85,994169,Drama,poison,0,😂,0.62
0.9,99127,All,strike,895042,😂,0.51
0.9,994169,All,poison,0,😂,0.2
0.9,673086,Comedy,strike,321083,😂,0.06
0.9,994169,Comedy,poison,0,😂,0.08
0.9,761471,Action,strike,232698,😂,0.65
0.9,994169,Action,poison,0,😂,0.64
0.9,669318,Drama,strike,324851,😂,0.62
0.9,994169,Drama,poison,0,😂,0.61
0.0,994169,All,strike,0,🎭,0.65
0.0,994169,All,poison,0,🎭,0.65
0.0,994169,Comedy,strike,0,🎭,0.64
0.0,994169,Comedy,poison,0,🎭,0.65
0.0,994169,Action,strike,0,🎭,0.64
0.0,994169,Action,poison,0,🎭,0.65
0.0,994169,Drama,strike,0,🎭,0.65
0.0,994169,Drama,poison,0,🎭,0.65
0.05,948147,All,strike,46022,🎭,0.63
0.05,994169,All,poison,0,🎭,0.63
0.05,979145,Comedy,strike,15024,🎭,0.64
0.05,994169,Comedy,poison,0,🎭,0.64
0.05,981560,Action,strike,12609,🎭,0.64
0.05,994169,Action,poison,0,🎭,0.64
0.05,977844,Drama,strike,16325,🎭,0.63
0.05,994169,Drama,poison,0,🎭,0.61
0.1,892599,All,strike,101570,🎭,0.62
0.1,994169,All,poison,0,🎭,0.6
0.1,957482,Comedy,strike,36687,🎭,0.65
0.1,994169,Comedy,poison,0,🎭,0.64
0.1,966588,Action,strike,27581,🎭,0.64
0.1,994169,Action,poison,0,🎭,0.64
0.1,963064,Drama,strike,31105,🎭,0.61
0.1,994169,Drama,poison,0,🎭,0.6
0.15,846070,All,strike,148099,🎭,0.61
0.15,994169,All,poison,0,🎭,0.58
0.15,941730,Comedy,strike,52439,🎭,0.64
0.15,994169,Comedy,poison,0,🎭,0.64
0.15,949005,Action,strike,45164,🎭,0.63
0.15,994169,Action,poison,0,🎭,0.62
0.15,948700,Drama,strike,45469,🎭,0.57
0.15,994169,Drama,poison,0,🎭,0.57
0.2,787232,All,strike,206937,🎭,0.6
0.2,994169,All,poison,0,🎭,0.57
0.2,912061,Comedy,strike,82108,🎭,0.62
0.2,994169,Comedy,poison,0,🎭,0.64
0.2,950324,Action,strike,43845,🎭,0.63
0.2,994169,Action,poison,0,🎭,0.61
0.2,922909,Drama,strike,71260,🎭,0.52
0.2,994169,Drama,poison,0,🎭,0.53
0.25,752055,All,strike,242114,🎭,0.59
0.25,994169,All,poison,0,🎭,0.53
0.25,902167,Comedy,strike,92002,🎭,0.62
0.25,994169,Comedy,poison,0,🎭,0.64
0.25,934456,Action,strike,59713,🎭,0.61
0.25,994169,Action,poison,0,🎭,0.63
0.25,910517,Drama,strike,83652,🎭,0.51
0.25,994169,Drama,poison,0,🎭,0.54
0.3,700981,All,strike,293188,🎭,0.59
0.3,994169,All,poison,0,🎭,0.5
0.3,893825,Comedy,strike,100344,🎭,0.63
0.3,994169,Comedy,poison,0,🎭,0.63
0.3,912351,Action,strike,81818,🎭,0.64
0.3,994169,Action,poison,0,🎭,0.65
0.3,892766,Drama,strike,101403,🎭,0.49
0.3,994169,Drama,poison,0,🎭,0.46
0.35,657147,All,strike,337022,🎭,0.59
0.35,994169,All,poison,0,🎭,0.48
0.35,873289,Comedy,strike,120880,🎭,0.63
0.35,994169,Comedy,poison,0,🎭,0.62
0.35,900924,Action,strike,93245,🎭,0.63
0.35,994169,Action,poison,0,🎭,0.6
0.35,864532,Drama,strike,129637,🎭,0.42
0.35,994169,Drama,poison,0,🎭,0.43
0.4,585316,All,strike,408853,🎭,0.55
0.4,994169,All,poison,0,🎭,0.43
0.4,860159,Comedy,strike,134010,🎭,0.63
0.4,994169,Comedy,poison,0,🎭,0.62
0.4,892070,Action,strike,102099,🎭,0.62
0.4,994169,Action,poison,0,🎭,0.61
0.4,848620,Drama,strike,145549,🎭,0.39
0.4,994169,Drama,poison,0,🎭,0.45
0.45,540535,All,strike,453634,🎭,0.54
0.45,994169,All,poison,0,🎭,0.43
0.45,835473,Comedy,strike,158696,🎭,0.62
0.45,994169,Comedy,poison,0,🎭,0.6
0.45,886171,Action,strike,107998,🎭,0.6
0.45,994169,Action,poison,0,🎭,0.62
0.45,838136,Drama,strike,156033,🎭,0.39
0.45,994169,Drama,poison,0,🎭,0.37
0.5,508464,All,strike,485705,🎭,0.54
0.5,994169,All,poison,0,🎭,0.39
0.5,819696,Comedy,strike,174473,🎭,0.61
0.5,994169,Comedy,poison,0,🎭,0.62
0.5,869910,Action,strike,124259,🎭,0.64
0.5,994169,Action,poison,0,🎭,0.59
0.5,825477,Drama,strike,168692,🎭,0.36
